name,period
고령 장기리 암각화,05
부여 송국리 유적,05
서울 암사동 유적,03
연천 전곡리 유적,03
하남 미사리 유적,03
단양 수양개 유적,03
제주 삼양동 유적,05
공주 장선리 유적,05
시흥 오이도 유적,03
태안 동문리 마애삼존불입상,12
경주 배동 석조여래삼존입상,13
경주 남산 불곡 마애여래좌상,13
충주 봉황리 마애불상군,13
청주 비중리 석조여래삼존상 및 석조여래입상,13
부여 부소산성,12
서울 풍납동 토성,12
공주 공산성,12
경주 무열왕릉,13
경주 원성왕릉,20
부여 청마산성,12
부여 나성,12
부여 청산성,12
서천 건지산성,12
고령 주산성,14
대구 달성,13
창녕 화왕산성,14
창녕 목마산성,14
김해 분산성,14
함안 성산산성,13
부여 석성산성,12
예산 임존성,12
익산 토성,12
양산 북정리 고분군,13
양산 신기리 고분군,13
양산 중부동 고분군,13
김제 벽골제,13
고성 내산리 고분군,14
진도 남도진성,30
강화 삼랑성,30
부여 궁남지,12
오산 독산성과 세마대지,12
부여 증산성,12
경주 동부 사적지대,13
북한산성,12
산청 전 구형왕릉,14
화성 당성,12
경산 병영유적,13
아차산성,12
대구 불로동 고분군,13
서울 방이동 고분군,12
경주 남산 일원,13
청주 신봉동 고분군,12
하남 동사지,30
담양 금성산성,30
서울 양천고성지,12
나주 복암리 고분군,12
하남 이성산성,13
부여 금강사지,12
파주 칠중성,13
영월 정양산성,11
원주 영원산성,20
아차산 일대 보루군,11
나주 오량동 요지,07
연천 호로고루,11
연천 당포성,11
연천 은대리성,11
구미 황상동 고분군,13
경주 황성동 고분,13
경산 임당동과 조영동 고분군,13
경주 진지왕릉,13
경주 문성왕릉,13
양주 대모산성,12
울산 약사동 제방,13
안성 도기동 산성,12
파주 덕진산성,11
부산 연산동 고분군,13
부안 죽막동 유적,12
대구 구암동 고분군,13
장수 동촌리 고분군,14
의성 금성면 고분군,13
인천 계양산성,12
